Claims_Processed,N_Warmup,N_Live_Total,Total_Budget,Log_Interval,Cumulative_Regret,Total_Utility_Saved,Frauds_Caught,Missed_Frauds,Audits_Done,Budget_Left,Shadow_Price,Hit_Rate_%
31000,50000,100000,50000,500,12968.0,14144.0,9042,6352,15562,34438,3.1,58.1
31500,50000,100000,50000,500,13172.0,14378.0,9186,6456,15806,34194,2.8,58.12
32000,50000,100000,50000,500,13384.0,14595.0,9330,6558,16060,33940,3.0,58.09
32500,50000,100000,50000,500,13592.0,14822.0,9479,6663,16310,33690,3.0,58.12
33000,50000,100000,50000,500,13786.0,15044.0,9625,6751,16562,33438,3.1,58.11
33500,50000,100000,50000,500,14000.0,15305.0,9769,6855,16814,33186,3.2,58.1
34000,50000,100000,50000,500,14211.0,15559.0,9916,6960,17065,32935,3.25,58.11
34500,50000,100000,50000,500,14428.0,15776.0,10056,7070,17312,32688,3.1,58.09
35000,50000,100000,50000,500,14641.0,16006.0,10206,7180,17565,32435,3.25,58.1
35500,50000,100000,50000,500,14869.0,16221.0,10353,7298,17815,32185,3.25,58.11
36000,50000,100000,50000,500,15082.0,16452.0,10515,7418,18066,31934,3.3,58.2
36500,50000,100000,50000,500,15294.0,16689.0,10657,7524,18310,31690,3.0,58.2
37000,50000,100000,50000,500,15522.0,16925.0,10806,7635,18567,31433,3.35,58.2
37500,50000,100000,50000,500,15736.0,17143.0,10957,7753,18812,31188,3.1,58.24
38000,50000,100000,50000,500,15940.0,17390.0,11109,7859,19062,30938,3.1,58.28
38500,50000,100000,50000,500,16155.0,17649.0,11267,7976,19314,30686,3.2,58.34
39000,50000,100000,50000,500,16358.0,17901.0,11405,8072,19559,30441,2.95,58.31
39500,50000,100000,50000,500,16575.0,18120.0,11550,8183,19808,30192,2.9,58.31
40000,50000,100000,50000,500,16777.0,18356.0,11703,8284,20062,29938,3.1,58.33
40500,50000,100000,50000,500,16984.0,18607.0,11851,8390,20311,29689,3.05,58.35
41000,50000,100000,50000,500,17199.0,18839.0,11996,8499,20562,29438,3.1,58.34
41500,50000,100000,50000,500,17397.0,19076.0,12159,8607,20815,29185,3.25,58.41
42000,50000,100000,50000,500,17613.0,19277.0,12296,8714,21059,28941,2.95,58.39
42500,50000,100000,50000,500,17834.0,19527.0,12445,8827,21314,28686,3.2,58.39
43000,50000,100000,50000,500,18042.0,19760.0,12586,8930,21560,28440,3.0,58.38
43500,50000,100000,50000,500,18227.0,19968.0,12733,9009,21813,28187,3.15,58.37
44000,50000,100000,50000,500,18435.0,20198.0,12871,9106,22062,27938,3.1,58.34
44500,50000,100000,50000,500,18644.0,20464.0,13019,9215,22310,27690,3.0,58.35
45000,50000,100000,50000,500,18854.0,20719.0,13175,9330,22561,27439,3.05,58.4
45500,50000,100000,50000,500,19057.0,20931.0,13323,9428,22814,27186,3.2,58.4
46000,50000,100000,50000,500,19269.0,21147.0,13460,9529,23062,26938,3.1,58.36
46500,50000,100000,50000,500,19460.0,21392.0,13609,9619,23310,26690,3.0,58.38
47000,50000,100000,50000,500,19652.0,21645.0,13771,9714,23567,26433,3.35,58.43
47500,50000,100000,50000,500,19852.0,21864.0,13922,9814,23811,26189,3.05,58.47
48000,50000,100000,50000,500,20062.0,22089.0,14070,9921,24062,25938,3.1,58.47
48500,50000,100000,50000,500,20289.0,22315.0,14212,10034,24318,25682,3.4,58.44
49000,50000,100000,50000,500,20502.0,22536.0,14352,10141,24555,25445,2.75,58.45
49500,50000,100000,50000,500,20704.0,22789.0,14504,10235,24811,25189,3.05,58.46
50000,50000,100000,50000,500,20916.0,22986.0,14649,10335,25059,24941,2.95,58.46
50500,50000,100000,50000,500,21114.0,23242.0,14811,10441,25313,24687,3.15,58.51
51000,50000,100000,50000,500,21316.0,23546.0,14968,10547,25564,24436,3.2,58.55
51500,50000,100000,50000,500,21540.0,23745.0,15112,10664,25813,24187,3.15,58.54
52000,50000,100000,50000,500,21752.0,23955.0,15246,10761,26062,23938,3.1,58.5
52500,50000,100000,50000,500,21967.0,24190.0,15396,10875,26313,23687,3.15,58.51
53000,50000,100000,50000,500,22177.0,24394.0,15537,10979,26560,23440,3.0,58.5
53500,50000,100000,50000,500,22383.0,24633.0,15688,11083,26813,23187,3.15,58.51
54000,50000,100000,50000,500,22587.0,24853.0,15832,11184,27058,22942,2.9,58.51
54500,50000,100000,50000,500,22799.0,25073.0,15976,11290,27308,22692,2.9,58.5
55000,50000,100000,50000,500,23011.0,25315.0,16119,11387,27564,22436,3.2,58.48
55500,50000,100000,50000,500,23209.0,25576.0,16265,11481,27814,22186,3.2,58.48
56000,50000,100000,50000,500,23401.0,25818.0,16408,11566,28062,21938,3.1,58.47
56500,50000,100000,50000,500,23622.0,26060.0,16554,11684,28309,21691,2.95,58.48
57000,50000,100000,50000,500,23851.0,26276.0,16687,11793,28562,21438,3.1,58.42
57500,50000,100000,50000,500,24067.0,26455.0,16819,11889,28812,21188,3.1,58.37
58000,50000,100000,50000,500,24263.0,26700.0,16968,11983,29063,20937,3.15,58.38
58500,50000,100000,50000,500,24501.0,26899.0,17102,12106,29312,20688,3.1,58.34
59000,50000,100000,50000,500,24697.0,27152.0,17258,12209,29561,20439,3.05,58.38
59500,50000,100000,50000,500,24905.0,27413.0,17408,12320,29808,20192,2.9,58.4
60000,50000,100000,50000,500,25117.0,27643.0,17556,12426,30060,19940,3.0,58.4
60500,50000,100000,50000,500,25344.0,27857.0,17694,12538,30311,19689,3.05,58.37
61000,50000,100000,50000,500,25562.0,28068.0,17841,12651,30563,19437,3.15,58.37
61500,50000,100000,50000,500,25797.0,28256.0,17972,12768,30805,19195,2.75,58.34
62000,50000,100000,50000,500,25995.0,28532.0,18130,12868,31061,18939,3.05,58.37
62500,50000,100000,50000,500,26220.0,28790.0,18277,12983,31311,18689,3.05,58.37
63000,50000,100000,50000,500,26436.0,29028.0,18425,13096,31560,18440,3.0,58.38
63500,50000,100000,50000,500,26637.0,29262.0,18569,13188,31813,18187,3.15,58.37
64000,50000,100000,50000,500,26838.0,29502.0,18722,13291,32062,17938,3.1,58.39
64500,50000,100000,50000,500,27038.0,29750.0,18864,13386,32309,17691,2.95,58.39
65000,50000,100000,50000,500,27255.0,29947.0,19005,13480,32564,17436,3.2,58.36
65500,50000,100000,50000,500,27488.0,30143.0,19142,13604,32810,17190,3.0,58.34
66000,50000,100000,50000,500,27684.0,30400.0,19293,13698,33063,16937,3.15,58.35
66500,50000,100000,50000,500,27891.0,30630.0,19433,13798,33310,16690,3.0,58.34
67000,50000,100000,50000,500,28103.0,30881.0,19577,13903,33559,16441,2.95,58.34
67500,50000,100000,50000,500,28313.0,31072.0,19724,14009,33810,16190,3.0,58.34
68000,50000,100000,50000,500,28514.0,31333.0,19880,14112,34064,15936,3.2,58.36
68500,50000,100000,50000,500,28737.0,31561.0,20022,14225,34314,15686,3.2,58.35
69000,50000,100000,50000,500,28942.0,31754.0,20168,14324,34566,15434,3.3,58.35
69500,50000,100000,50000,500,29157.0,31980.0,20307,14435,34809,15191,2.95,58.34
70000,50000,100000,50000,500,29359.0,32219.0,20465,14546,35058,14942,2.9,58.37
70500,50000,100000,50000,500,29570.0,32440.0,20611,14648,35313,14687,3.15,58.37
71000,50000,100000,50000,500,29758.0,32707.0,20779,14745,35566,14434,3.3,58.42
71500,50000,100000,50000,500,29968.0,32929.0,20926,14853,35813,14187,3.15,58.43
72000,50000,100000,50000,500,30169.0,33170.0,21081,14963,36059,13941,2.95,58.46
72500,50000,100000,50000,500,30371.0,33435.0,21235,15070,36308,13692,2.9,58.49
73000,50000,100000,50000,500,30573.0,33720.0,21394,15175,36562,13438,3.1,58.51
73500,50000,100000,50000,500,30793.0,33935.0,21534,15286,36811,13189,3.05,58.5
74000,50000,100000,50000,500,31012.0,34155.0,21678,15397,37063,12937,3.15,58.49
74500,50000,100000,50000,500,31208.0,34399.0,21827,15493,37312,12688,3.1,58.5
75000,50000,100000,50000,500,31413.0,34645.0,21980,15597,37562,12438,3.1,58.52
75500,50000,100000,50000,500,31633.0,34865.0,22120,15701,37816,12184,3.3,58.49
76000,50000,100000,50000,500,31817.0,35150.0,22289,15804,38064,11936,3.2,58.56
76500,50000,100000,50000,500,32005.0,35408.0,22443,15896,38312,11688,3.1,58.58
77000,50000,100000,50000,500,32221.0,35629.0,22581,15998,38562,11438,3.1,58.56
77500,50000,100000,50000,500,32417.0,35847.0,22733,16094,38812,11188,3.1,58.57
78000,50000,100000,50000,500,32619.0,36067.0,22873,16191,39057,10943,2.85,58.56
78500,50000,100000,50000,500,32833.0,36285.0,23011,16289,39311,10689,3.05,58.54
79000,50000,100000,50000,500,33042.0,36522.0,23158,16395,39561,10439,3.05,58.54
79500,50000,100000,50000,500,33250.0,36719.0,23294,16489,39811,10189,3.05,58.51
80000,50000,100000,50000,500,33454.0,36961.0,23447,16591,40064,9936,3.2,58.52
80500,50000,100000,50000,500,33651.0,37194.0,23594,16687,40310,9690,3.0,58.53
81000,50000,100000,50000,500,33875.0,37377.0,23735,16792,40566,9434,3.3,58.51
81500,50000,100000,50000,500,34094.0,37583.0,23870,16901,40811,9189,3.05,58.49
82000,50000,100000,50000,500,34315.0,37818.0,24013,17012,41064,8936,3.2,58.48
82500,50000,100000,50000,500,34509.0,38044.0,24168,17111,41314,8686,3.2,58.5
83000,50000,100000,50000,500,34711.0,38260.0,24313,17209,41563,8437,3.15,58.5
83500,50000,100000,50000,500,34910.0,38506.0,24461,17309,41810,8190,3.0,58.51
84000,50000,100000,50000,500,35112.0,38767.0,24608,17403,42063,7937,3.15,58.5
84500,50000,100000,50000,500,35337.0,39005.0,24749,17520,42310,7690,3.0,58.49
85000,50000,100000,50000,500,35542.0,39261.0,24896,17619,42563,7437,3.15,58.49
85500,50000,100000,50000,500,35765.0,39487.0,25034,17736,42807,7193,2.85,58.48
86000,50000,100000,50000,500,35960.0,39718.0,25187,17831,43060,6940,3.0,58.49
86500,50000,100000,50000,500,36183.0,39922.0,25323,17940,43310,6690,3.0,58.47
87000,50000,100000,50000,500,36384.0,40180.0,25489,18055,43560,6440,3.0,58.51
87500,50000,100000,50000,500,36596.0,40431.0,25641,18166,43813,6187,3.15,58.52
88000,50000,100000,50000,500,36792.0,40646.0,25797,18270,44061,5939,3.05,58.55
88500,50000,100000,50000,500,37004.0,40851.0,25943,18376,44313,5687,3.15,58.54
89000,50000,100000,50000,500,37222.0,41074.0,26085,18486,44563,5437,3.15,58.54
89500,50000,100000,50000,500,37442.0,41320.0,26233,18600,44815,5185,3.25,58.54
90000,50000,100000,50000,500,37640.0,41561.0,26377,18689,45066,4934,3.3,58.53
90500,50000,100000,50000,500,37840.0,41787.0,26519,18786,45311,4689,3.05,58.53
91000,50000,100000,50000,500,38049.0,42029.0,26664,18880,45564,4436,3.2,58.52
91500,50000,100000,50000,500,38278.0,42227.0,26787,18982,45812,4188,3.1,58.47
92000,50000,100000,50000,500,38487.0,42464.0,26929,19081,46062,3938,3.1,58.46
92500,50000,100000,50000,500,38697.0,42729.0,27075,19190,46309,3691,2.95,58.47
93000,50000,100000,50000,500,38889.0,42973.0,27232,19283,46565,3435,3.25,58.48
93500,50000,100000,50000,500,39118.0,43178.0,27371,19399,46813,3187,3.15,58.47
94000,50000,100000,50000,500,39342.0,43373.0,27506,19508,47063,2937,3.15,58.45
94500,50000,100000,50000,500,39555.0,43607.0,27656,19617,47317,2683,3.35,58.45
95000,50000,100000,50000,500,39765.0,43875.0,27815,19732,47562,2438,3.1,58.48
95500,50000,100000,50000,500,39986.0,44071.0,27951,19840,47811,2189,3.05,58.46
96000,50000,100000,50000,500,40203.0,44314.0,28106,19958,48063,1937,3.15,58.48
96500,50000,100000,50000,500,40415.0,44544.0,28249,20060,48314,1686,3.2,58.47
97000,50000,100000,50000,500,40617.0,44794.0,28394,20160,48561,1439,3.05,58.47
97500,50000,100000,50000,500,40823.0,45000.0,28549,20263,48815,1185,3.25,58.48
98000,50000,100000,50000,500,41027.0,45240.0,28700,20370,49063,937,3.15,58.5
98500,50000,100000,50000,500,41229.0,45486.0,28847,20470,49312,688,3.1,58.5
99000,50000,100000,50000,500,41429.0,45715.0,28992,20566,49561,439,3.05,58.5
99500,50000,100000,50000,500,41631.0,45978.0,29162,20687,49812,188,3.1,58.54
100000,50000,100000,50000,500,41890.0,46167.0,29275,20840,50000,0,0.0,58.55
