Claims_Processed,N_Warmup,N_Live_Total,Total_Budget,Log_Interval,Cumulative_Regret,Total_Utility_Saved,Frauds_Caught,Missed_Frauds,Audits_Done,Budget_Left,Shadow_Price,Hit_Rate_%
500,50000,100000,Unlimited,500,248.0,302.0,251,0,499,N/A,0.0,50.3
1000,50000,100000,Unlimited,500,500.0,622.0,499,0,999,N/A,0.0,49.95
1500,50000,100000,Unlimited,500,761.0,953.0,735,0,1496,N/A,0.0,49.13
2000,50000,100000,Unlimited,500,1013.0,1290.0,983,0,1996,N/A,0.0,49.25
2500,50000,100000,Unlimited,500,1240.0,1644.0,1255,1,2494,N/A,0.0,50.32
3000,50000,100000,Unlimited,500,1484.0,1992.0,1509,1,2992,N/A,0.0,50.43
3500,50000,100000,Unlimited,500,1732.0,2323.0,1760,1,3491,N/A,0.0,50.42
4000,50000,100000,Unlimited,500,1973.0,2657.0,2018,1,3990,N/A,0.0,50.58
4500,50000,100000,Unlimited,500,2247.0,2956.0,2242,1,4488,N/A,0.0,49.96
5000,50000,100000,Unlimited,500,2498.0,3257.0,2490,1,4987,N/A,0.0,49.93
5500,50000,100000,Unlimited,500,2725.0,3626.0,2761,2,5484,N/A,0.0,50.35
6000,50000,100000,Unlimited,500,2967.0,3983.0,3018,3,5982,N/A,0.0,50.45
6500,50000,100000,Unlimited,500,3199.0,4320.0,3285,3,6481,N/A,0.0,50.69
7000,50000,100000,Unlimited,500,3442.0,4655.0,3541,3,6980,N/A,0.0,50.73
7500,50000,100000,Unlimited,500,3690.0,4986.0,3792,3,7479,N/A,0.0,50.7
8000,50000,100000,Unlimited,500,3948.0,5289.0,4034,3,7979,N/A,0.0,50.56
8500,50000,100000,Unlimited,500,4211.0,5615.0,4269,3,8477,N/A,0.0,50.36
9000,50000,100000,Unlimited,500,4458.0,5937.0,4521,3,8976,N/A,0.0,50.37
9500,50000,100000,Unlimited,500,4731.0,6212.0,4747,3,9475,N/A,0.0,50.1
10000,50000,100000,Unlimited,500,4991.0,6544.0,4985,3,9973,N/A,0.0,49.98
10500,50000,100000,Unlimited,500,5257.0,6863.0,5219,3,10473,N/A,0.0,49.83
11000,50000,100000,Unlimited,500,5516.0,7167.0,5459,3,10972,N/A,0.0,49.75
11500,50000,100000,Unlimited,500,5759.0,7499.0,5718,4,11471,N/A,0.0,49.85
12000,50000,100000,Unlimited,500,6020.0,7817.0,5955,4,11969,N/A,0.0,49.75
12500,50000,100000,Unlimited,500,6301.0,8134.0,6174,4,12469,N/A,0.0,49.51
13000,50000,100000,Unlimited,500,6545.0,8510.0,6427,4,12966,N/A,0.0,49.57
13500,50000,100000,Unlimited,500,6781.0,8886.0,6689,4,13464,N/A,0.0,49.68
14000,50000,100000,Unlimited,500,7041.0,9205.0,6925,4,13960,N/A,0.0,49.61
14500,50000,100000,Unlimited,500,7286.0,9537.0,7180,4,14460,N/A,0.0,49.65
15000,50000,100000,Unlimited,500,7524.0,9884.0,7442,5,14959,N/A,0.0,49.75
15500,50000,100000,Unlimited,500,7788.0,10216.0,7678,5,15459,N/A,0.0,49.67
16000,50000,100000,Unlimited,500,8019.0,10590.0,7947,5,15959,N/A,0.0,49.8
16500,50000,100000,Unlimited,500,8283.0,10906.0,8183,6,16456,N/A,0.0,49.73
17000,50000,100000,Unlimited,500,8542.0,11213.0,8421,6,16953,N/A,0.0,49.67
17500,50000,100000,Unlimited,500,8804.0,11507.0,8659,7,17452,N/A,0.0,49.62
18000,50000,100000,Unlimited,500,9054.0,11839.0,8909,7,17952,N/A,0.0,49.63
18500,50000,100000,Unlimited,500,9283.0,12188.0,9179,7,18451,N/A,0.0,49.75
19000,50000,100000,Unlimited,500,9536.0,12542.0,9426,8,18950,N/A,0.0,49.74
19500,50000,100000,Unlimited,500,9775.0,12874.0,9685,8,19448,N/A,0.0,49.8
20000,50000,100000,Unlimited,500,10008.0,13223.0,9952,8,19948,N/A,0.0,49.89
20500,50000,100000,Unlimited,500,10247.0,13596.0,10213,8,20448,N/A,0.0,49.95
21000,50000,100000,Unlimited,500,10503.0,13956.0,10456,8,20947,N/A,0.0,49.92
21500,50000,100000,Unlimited,500,10741.0,14296.0,10716,8,21445,N/A,0.0,49.97
22000,50000,100000,Unlimited,500,10994.0,14615.0,10961,9,21942,N/A,0.0,49.95
22500,50000,100000,Unlimited,500,11240.0,14937.0,11212,10,22438,N/A,0.0,49.97
23000,50000,100000,Unlimited,500,11490.0,15290.0,11460,11,22935,N/A,0.0,49.97
23500,50000,100000,Unlimited,500,11746.0,15626.0,11704,12,23434,N/A,0.0,49.94
24000,50000,100000,Unlimited,500,11997.0,15925.0,11952,12,23933,N/A,0.0,49.94
24500,50000,100000,Unlimited,500,12263.0,16235.0,12187,13,24431,N/A,0.0,49.88
25000,50000,100000,Unlimited,500,12510.0,16580.0,12439,13,24930,N/A,0.0,49.9
25500,50000,100000,Unlimited,500,12773.0,16920.0,12676,15,25428,N/A,0.0,49.85
26000,50000,100000,Unlimited,500,13039.0,17236.0,12910,15,25928,N/A,0.0,49.79
26500,50000,100000,Unlimited,500,13302.0,17577.0,13147,15,26428,N/A,0.0,49.75
27000,50000,100000,Unlimited,500,13554.0,17892.0,13394,17,26925,N/A,0.0,49.75
27500,50000,100000,Unlimited,500,13824.0,18203.0,13622,18,27422,N/A,0.0,49.68
28000,50000,100000,Unlimited,500,14058.0,18568.0,13885,18,27919,N/A,0.0,49.73
28500,50000,100000,Unlimited,500,14308.0,18918.0,14135,18,28419,N/A,0.0,49.74
29000,50000,100000,Unlimited,500,14569.0,19224.0,14373,18,28918,N/A,0.0,49.7
29500,50000,100000,Unlimited,500,14832.0,19533.0,14608,18,29416,N/A,0.0,49.66
30000,50000,100000,Unlimited,500,15069.0,19888.0,14870,18,29915,N/A,0.0,49.71
30500,50000,100000,Unlimited,500,15310.0,20241.0,15128,18,30414,N/A,0.0,49.74
31000,50000,100000,Unlimited,500,15566.0,20564.0,15374,20,30912,N/A,0.0,49.73
31500,50000,100000,Unlimited,500,15818.0,20902.0,15622,20,31412,N/A,0.0,49.73
32000,50000,100000,Unlimited,500,16079.0,21213.0,15867,21,31910,N/A,0.0,49.72
32500,50000,100000,Unlimited,500,16325.0,21546.0,16120,22,32408,N/A,0.0,49.74
33000,50000,100000,Unlimited,500,16591.0,21856.0,16354,22,32908,N/A,0.0,49.7
33500,50000,100000,Unlimited,500,16846.0,22220.0,16601,23,33407,N/A,0.0,49.69
34000,50000,100000,Unlimited,500,17093.0,22580.0,16852,24,33904,N/A,0.0,49.71
34500,50000,100000,Unlimited,500,17343.0,22907.0,17102,24,34404,N/A,0.0,49.71
35000,50000,100000,Unlimited,500,17583.0,23247.0,17362,24,34904,N/A,0.0,49.74
35500,50000,100000,Unlimited,500,17818.0,23587.0,17627,24,35404,N/A,0.0,49.79
36000,50000,100000,Unlimited,500,18035.0,23942.0,17909,24,35903,N/A,0.0,49.88
36500,50000,100000,Unlimited,500,18287.0,24288.0,18156,25,36401,N/A,0.0,49.88
37000,50000,100000,Unlimited,500,18528.0,24643.0,18415,26,36900,N/A,0.0,49.91
37500,50000,100000,Unlimited,500,18759.0,24981.0,18684,26,37400,N/A,0.0,49.96
38000,50000,100000,Unlimited,500,18999.0,25334.0,18942,26,37898,N/A,0.0,49.98
38500,50000,100000,Unlimited,500,19222.0,25714.0,19217,26,38396,N/A,0.0,50.05
39000,50000,100000,Unlimited,500,19489.0,26060.0,19449,28,38893,N/A,0.0,50.01
39500,50000,100000,Unlimited,500,19733.0,26392.0,19705,28,39393,N/A,0.0,50.02
40000,50000,100000,Unlimited,500,19979.0,26729.0,19959,28,39893,N/A,0.0,50.03
40500,50000,100000,Unlimited,500,20225.0,27086.0,20213,28,40393,N/A,0.0,50.04
41000,50000,100000,Unlimited,500,20471.0,27427.0,20467,28,40893,N/A,0.0,50.05
41500,50000,100000,Unlimited,500,20700.0,27771.0,20737,29,41391,N/A,0.0,50.1
42000,50000,100000,Unlimited,500,20955.0,28081.0,20981,29,41890,N/A,0.0,50.09
42500,50000,100000,Unlimited,500,21192.0,28446.0,21243,29,42389,N/A,0.0,50.11
43000,50000,100000,Unlimited,500,21447.0,28781.0,21486,30,42886,N/A,0.0,50.1
43500,50000,100000,Unlimited,500,21719.0,29068.0,21712,30,43384,N/A,0.0,50.05
44000,50000,100000,Unlimited,500,21983.0,29394.0,21946,31,43881,N/A,0.0,50.01
44500,50000,100000,Unlimited,500,22226.0,29768.0,22202,32,44379,N/A,0.0,50.03
45000,50000,100000,Unlimited,500,22453.0,30137.0,22472,33,44875,N/A,0.0,50.08
45500,50000,100000,Unlimited,500,22706.0,30447.0,22718,33,45374,N/A,0.0,50.07
46000,50000,100000,Unlimited,500,22969.0,30762.0,22954,35,45871,N/A,0.0,50.04
46500,50000,100000,Unlimited,500,23230.0,31099.0,23193,35,46371,N/A,0.0,50.02
47000,50000,100000,Unlimited,500,23473.0,31449.0,23450,35,46871,N/A,0.0,50.03
47500,50000,100000,Unlimited,500,23719.0,31775.0,23701,35,47368,N/A,0.0,50.04
48000,50000,100000,Unlimited,500,23963.0,32107.0,23956,35,47867,N/A,0.0,50.05
48500,50000,100000,Unlimited,500,24206.0,32446.0,24211,35,48365,N/A,0.0,50.06
49000,50000,100000,Unlimited,500,24459.0,32783.0,24458,35,48865,N/A,0.0,50.05
49500,50000,100000,Unlimited,500,24712.0,33134.0,24704,35,49364,N/A,0.0,50.04
50000,50000,100000,Unlimited,500,24967.0,33440.0,24949,35,49864,N/A,0.0,50.03
50500,50000,100000,Unlimited,500,25199.0,33802.0,25217,35,50364,N/A,0.0,50.07
51000,50000,100000,Unlimited,500,25434.0,34214.0,25480,35,50862,N/A,0.0,50.1
51500,50000,100000,Unlimited,500,25673.0,34532.0,25741,35,51362,N/A,0.0,50.12
52000,50000,100000,Unlimited,500,25941.0,34839.0,25972,35,51861,N/A,0.0,50.08
52500,50000,100000,Unlimited,500,26177.0,35188.0,26236,35,52361,N/A,0.0,50.11
53000,50000,100000,Unlimited,500,26432.0,35496.0,26481,35,52861,N/A,0.0,50.1
53500,50000,100000,Unlimited,500,26676.0,35839.0,26736,35,53360,N/A,0.0,50.1
54000,50000,100000,Unlimited,500,26930.0,36162.0,26981,35,53859,N/A,0.0,50.1
54500,50000,100000,Unlimited,500,27181.0,36487.0,27230,36,54358,N/A,0.0,50.09
55000,50000,100000,Unlimited,500,27448.0,36820.0,27469,37,54856,N/A,0.0,50.07
55500,50000,100000,Unlimited,500,27707.0,37175.0,27709,37,55355,N/A,0.0,50.06
56000,50000,100000,Unlimited,500,27978.0,37504.0,27937,37,55854,N/A,0.0,50.02
56500,50000,100000,Unlimited,500,28213.0,37866.0,28201,37,56353,N/A,0.0,50.04
57000,50000,100000,Unlimited,500,28473.0,38189.0,28441,39,56851,N/A,0.0,50.03
57500,50000,100000,Unlimited,500,28743.0,38466.0,28669,39,57349,N/A,0.0,49.99
58000,50000,100000,Unlimited,500,28998.0,38805.0,28912,39,57847,N/A,0.0,49.98
58500,50000,100000,Unlimited,500,29239.0,39127.0,29169,39,58345,N/A,0.0,49.99
59000,50000,100000,Unlimited,500,29479.0,39483.0,29428,39,58844,N/A,0.0,50.01
59500,50000,100000,Unlimited,500,29719.0,39854.0,29688,40,59343,N/A,0.0,50.03
60000,50000,100000,Unlimited,500,29965.0,40192.0,29942,40,59843,N/A,0.0,50.03
60500,50000,100000,Unlimited,500,30213.0,40520.0,30192,40,60341,N/A,0.0,50.04
61000,50000,100000,Unlimited,500,30453.0,40844.0,30452,40,60841,N/A,0.0,50.05
61500,50000,100000,Unlimited,500,30705.0,41155.0,30699,41,61339,N/A,0.0,50.05
62000,50000,100000,Unlimited,500,30946.0,41531.0,30957,41,61838,N/A,0.0,50.06
62500,50000,100000,Unlimited,500,31190.0,41903.0,31218,42,62335,N/A,0.0,50.08
63000,50000,100000,Unlimited,500,31429.0,42256.0,31479,42,62835,N/A,0.0,50.1
63500,50000,100000,Unlimited,500,31689.0,42582.0,31715,42,63331,N/A,0.0,50.08
64000,50000,100000,Unlimited,500,31931.0,42926.0,31970,43,63827,N/A,0.0,50.09
64500,50000,100000,Unlimited,500,32192.0,43269.0,32207,43,64325,N/A,0.0,50.07
65000,50000,100000,Unlimited,500,32454.0,43569.0,32442,43,64822,N/A,0.0,50.05
65500,50000,100000,Unlimited,500,32691.0,43889.0,32703,43,65320,N/A,0.0,50.07
66000,50000,100000,Unlimited,500,32945.0,44240.0,32948,43,65819,N/A,0.0,50.06
66500,50000,100000,Unlimited,500,33203.0,44570.0,33188,43,66317,N/A,0.0,50.04
67000,50000,100000,Unlimited,500,33454.0,44927.0,33436,44,66815,N/A,0.0,50.04
67500,50000,100000,Unlimited,500,33701.0,45224.0,33689,44,67315,N/A,0.0,50.05
68000,50000,100000,Unlimited,500,33941.0,45588.0,33948,44,67814,N/A,0.0,50.06
68500,50000,100000,Unlimited,500,34185.0,45930.0,34202,45,68311,N/A,0.0,50.07
69000,50000,100000,Unlimited,500,34439.0,46222.0,34447,45,68810,N/A,0.0,50.06
69500,50000,100000,Unlimited,500,34688.0,46559.0,34697,45,69309,N/A,0.0,50.06
70000,50000,100000,Unlimited,500,34917.0,46909.0,34966,45,69807,N/A,0.0,50.09
70500,50000,100000,Unlimited,500,35168.0,47232.0,35214,45,70306,N/A,0.0,50.09
71000,50000,100000,Unlimited,500,35405.0,47599.0,35478,46,70804,N/A,0.0,50.11
71500,50000,100000,Unlimited,500,35649.0,47930.0,35732,47,71301,N/A,0.0,50.11
72000,50000,100000,Unlimited,500,35884.0,48281.0,35997,47,71801,N/A,0.0,50.13
72500,50000,100000,Unlimited,500,36123.0,48653.0,36258,47,72301,N/A,0.0,50.15
73000,50000,100000,Unlimited,500,36359.0,49044.0,36521,48,72799,N/A,0.0,50.17
73500,50000,100000,Unlimited,500,36608.0,49370.0,36772,48,73299,N/A,0.0,50.17
74000,50000,100000,Unlimited,500,36852.0,49700.0,37026,49,73796,N/A,0.0,50.17
74500,50000,100000,Unlimited,500,37106.0,50040.0,37271,49,74295,N/A,0.0,50.17
75000,50000,100000,Unlimited,500,37349.0,50391.0,37527,50,74791,N/A,0.0,50.18
75500,50000,100000,Unlimited,500,37604.0,50717.0,37771,50,75290,N/A,0.0,50.17
76000,50000,100000,Unlimited,500,37831.0,51106.0,38042,51,75787,N/A,0.0,50.2
76500,50000,100000,Unlimited,500,38085.0,51458.0,38288,51,76287,N/A,0.0,50.19
77000,50000,100000,Unlimited,500,38343.0,51783.0,38528,51,76785,N/A,0.0,50.18
77500,50000,100000,Unlimited,500,38594.0,52099.0,38776,51,77284,N/A,0.0,50.17
