Claims_Processed,N_Warmup,N_Live_Total,Total_Budget,Log_Interval,Cumulative_Regret,Total_Utility_Saved,Frauds_Caught,Missed_Frauds,Audits_Done,Budget_Left,Shadow_Price,Hit_Rate_%
78000,50000,100000,Unlimited,500,38857.0,52415.0,39012,52,77782,N/A,0.0,50.16
78500,50000,100000,Unlimited,500,39120.0,52731.0,39248,52,78281,N/A,0.0,50.14
79000,50000,100000,Unlimited,500,39367.0,53074.0,39501,52,78781,N/A,0.0,50.14
79500,50000,100000,Unlimited,500,39637.0,53365.0,39731,52,79281,N/A,0.0,50.11
80000,50000,100000,Unlimited,500,39880.0,53711.0,39986,52,79779,N/A,0.0,50.12
80500,50000,100000,Unlimited,500,40135.0,54042.0,40229,52,80277,N/A,0.0,50.11
81000,50000,100000,Unlimited,500,40388.0,54334.0,40475,52,80776,N/A,0.0,50.11
81500,50000,100000,Unlimited,500,40643.0,54649.0,40719,52,81275,N/A,0.0,50.1
82000,50000,100000,Unlimited,500,40889.0,54995.0,40973,52,81775,N/A,0.0,50.1
82500,50000,100000,Unlimited,500,41132.0,55320.0,41227,52,82272,N/A,0.0,50.11
83000,50000,100000,Unlimited,500,41389.0,55634.0,41470,52,82772,N/A,0.0,50.1
83500,50000,100000,Unlimited,500,41639.0,55979.0,41717,53,83268,N/A,0.0,50.1
84000,50000,100000,Unlimited,500,41898.0,56336.0,41958,53,83768,N/A,0.0,50.09
84500,50000,100000,Unlimited,500,42140.0,56693.0,42216,53,84268,N/A,0.0,50.1
85000,50000,100000,Unlimited,500,42393.0,57048.0,42462,53,84767,N/A,0.0,50.09
85500,50000,100000,Unlimited,500,42638.0,57390.0,42716,54,85265,N/A,0.0,50.1
86000,50000,100000,Unlimited,500,42891.0,57715.0,42963,55,85764,N/A,0.0,50.09
86500,50000,100000,Unlimited,500,43145.0,58028.0,43208,55,86263,N/A,0.0,50.09
87000,50000,100000,Unlimited,500,43362.0,58403.0,43489,55,86761,N/A,0.0,50.13
87500,50000,100000,Unlimited,500,43598.0,58765.0,43752,55,87260,N/A,0.0,50.14
88000,50000,100000,Unlimited,500,43838.0,59084.0,44012,55,87760,N/A,0.0,50.15
88500,50000,100000,Unlimited,500,44086.0,59395.0,44264,55,88260,N/A,0.0,50.15
89000,50000,100000,Unlimited,500,44333.0,59728.0,44516,55,88759,N/A,0.0,50.15
89500,50000,100000,Unlimited,500,44572.0,60089.0,44777,56,89258,N/A,0.0,50.17
90000,50000,100000,Unlimited,500,44838.0,60420.0,45009,57,89755,N/A,0.0,50.15
90500,50000,100000,Unlimited,500,45098.0,60743.0,45248,57,90254,N/A,0.0,50.13
91000,50000,100000,Unlimited,500,45358.0,61086.0,45487,57,90753,N/A,0.0,50.12
91500,50000,100000,Unlimited,500,45633.0,61388.0,45712,57,91253,N/A,0.0,50.09
92000,50000,100000,Unlimited,500,45890.0,61726.0,45953,57,91751,N/A,0.0,50.08
92500,50000,100000,Unlimited,500,46135.0,62100.0,46208,57,92251,N/A,0.0,50.09
93000,50000,100000,Unlimited,500,46382.0,62437.0,46458,57,92748,N/A,0.0,50.09
93500,50000,100000,Unlimited,500,46626.0,62762.0,46713,57,93247,N/A,0.0,50.1
94000,50000,100000,Unlimited,500,46881.0,63066.0,46957,57,93746,N/A,0.0,50.09
94500,50000,100000,Unlimited,500,47122.0,63409.0,47216,57,94246,N/A,0.0,50.1
95000,50000,100000,Unlimited,500,47348.0,63800.0,47489,58,94744,N/A,0.0,50.12
95500,50000,100000,Unlimited,500,47599.0,64103.0,47732,59,95237,N/A,0.0,50.12
96000,50000,100000,Unlimited,500,47827.0,64465.0,48004,60,95736,N/A,0.0,50.14
96500,50000,100000,Unlimited,500,48080.0,64799.0,48249,60,96234,N/A,0.0,50.14
97000,50000,100000,Unlimited,500,48334.0,65149.0,48494,60,96733,N/A,0.0,50.13
97500,50000,100000,Unlimited,500,48575.0,65462.0,48752,60,97232,N/A,0.0,50.14
98000,50000,100000,Unlimited,500,48817.0,65808.0,49009,61,97730,N/A,0.0,50.15
98500,50000,100000,Unlimited,500,49070.0,66154.0,49256,61,98230,N/A,0.0,50.14
99000,50000,100000,Unlimited,500,49329.0,66479.0,49497,61,98730,N/A,0.0,50.13
99500,50000,100000,Unlimited,500,49537.0,66863.0,49788,61,99229,N/A,0.0,50.17
100000,50000,100000,Unlimited,500,49769.0,67236.0,50054,61,99727,N/A,0.0,50.19
